潛在失效模式,失效原因,失效影響,風險評估,解決方案
推力不足達 1 km,重量高於可接受範圍,飛行距離太短，產生安全隱患,,進行多次實驗與實際測量，確保數值正確
燃料燃燒不完全,燃燒效率不足或燃料質量問題,推力降低或不穩定,,提高燃料質量控制，進行燃燒效率測試
引擎過熱,散熱不足或冷卻系統故障,火箭損壞或失敗,,加強散熱設計，使用高效冷卻系統
燃料供應中斷,燃料管路故障或阻塞,火箭推力驟降,,定期檢查和維護燃料管路
發動機點火失敗,點火系統故障或電路問題,火箭無法升空,,改善點火系統設計，進行多次測試
,,,,
潛在失效模式,失效原因,失效影響,風險評估,解決方案
降落傘未正常開啟,觸發機構故障或高度判斷錯誤,火箭高速落海損壞,,加裝計時器簡用觸發機制，進行多次功能測試
降落傘材料破裂,材料選擇不當或製造缺陷,降落傘功能失效,,使用高強度材料，進行品質檢查
降落傘展開過早或過晚,高度感測器故障或設計問題,降落不穩定或失敗,,校準高度感測器，進行精確控制
降落傘纏結,降落傘摺疊方式不當,降落傘無法正常展開,,改善降落傘摺疊方法，進行多次展開測試
降落傘脫落,固定機構故障或設計不當,降落傘未能固定在火箭上,,加強降落傘固定機構的設計和材料
,,,,
潛在失效模式,失效原因,失效影響,風險評估,解決方案
火箭未能浮起,漂浮裝置設計不足或進水,火箭無法回收,,增加發泡填充材料確保漂浮
漂浮裝置破損,製造缺陷或碰撞損壞,漂浮功能失效,,加強裝置結構，進行材料強度測試
漂浮裝置脫落,安裝不牢固或設計問題,火箭無法漂浮,,強化安裝結構，進行設計改良
漂浮裝置進水,密封不良或破損,漂浮功能失效,,加強裝置密封設計，使用防水材料
漂浮裝置錯位,安裝位置不當或固定不良,漂浮不穩定,,重新設計安裝位置，進行固定強化
,,,,
潛在失效模式,失效原因,失效影響,風險評估,解決方案
數據遺失或記錄不完整,電源供應異常或設備故障,無法進行飛行分析,,使用備用電源與雙重存儲系統
訊息無法傳達,接收晶片損壞,數據與位置丟失,,建立備份機制與準備備用晶片
機體振動影響數據準確性,機體振動過大,無法獲得可靠數據,,加裝減震裝置，改進設備固定方式
數據同步錯誤,多個設備之間的同步問題,數據不一致,,改善同步機制，使用高精度計時裝置
存儲裝置故障,存儲裝置損壞或老化,數據無法保存,,使用高品質存儲裝置，進行定期更換
,,,,
潛在失效模式,失效原因,失效影響,風險評估,解決方案
火箭飛行偏航或失控,質心與壓力中心配置不合理,目標高度未達成,,調整尾翼設計，確保質心位置在壓力中心前方
操作系統故障,控制系統故障,火箭無法穩定控制,,提供多重備份和手動控制系統
氣動設計不合理,設計缺陷或分析不充分,飛行過程中產生不穩定現象,,重新進行氣動設計和分析
機體結構疲勞,長期使用導致的結構疲勞,機體破裂或損壞,,使用高強度材料並進行定期檢查
控制軟件故障,軟件錯誤或設計缺陷,飛行控制失靈,,進行多次測試和校正