,24/26,23/26,22/26,24/25,23/25,22/25,24/27,23/27,22/27
7,210,9,304,218,14,308,174,96,283
8,211,11,34,218,7,190,165,107,202
9,207,15,103,219,12,147,159,102,145
10,204,23,157,214,11,142,167,120,149
11,202,21,146,220,19,153,176,118,156
12,190,37,157,224,13,136,161,107,131
13,198,46,150,222,25,87,156,132,139
14,203,26,150,223,29,32,187,141,90
15,200,53,147,223,31,75,198,133,102
16,203,37,137,225,54,72,110,133,84
17,196,51,166,229,36,18,90,129,16
18,188,55,112,218,21,17,882,156,9
19,183,53,271,210,5,22,58,153,288
20,179,34,67,214,13,48,67,148,348
21,194,57,57,206,9,56,40,143,325
22,175,45,54,204,9,70,31,146,108
23,202,73,35,200,5,71,37,146,349
24,191,58,60,204,8,38,18,147,55